value,customs_districts_label,location_chinese_trader,trader_zone,customs_regime,country_of_destination,country_of_consumption,location_chinese_producer,producer_zone,transportation_modes,china_hs8,quantity_unit,quantity
535000,,Other,Others,Ordinary trade,UnitedStates,UnitedStates,Luoyang,Others,,84145930,Number of item/Set,32
640000,,Shangrao,Others,Ordinary trade,Japan,Japan,Fengtai,Others,,90221200,Number of item/Set,1
383454,,Xuanwu,Others,Ordinary trade,Belgium,Germany,Tanggu,Bonded Area,,84401020,Number of item/Set,1
1158620,,Baoji,Others,Ordinary trade,Australia,Australia,Changzhou,Others,,52010000,Kilogram,528188
18894,,Nanchang,Ecoomic & Technological Development Area,Ordinary trade,Australia,Australia,Qingpu,Others,,15091000,Kilogram,1606
755000,,Shantou,Special Economic Zone,Ordinary trade,Germany,Germany,Chengdu,Others,,90221200,Number of item/Set,1
1001830,,Dalian,Others,Ordinary trade,NewZealand,NewZealand,Jiading,Others,,4015000,Kilogram,305244
100000,,Ganzhou,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Suzhou,Others,,84592100,Number of item/Set,1
5249,,Other,Others,Ordinary trade,Macau,Portugal,4453,Special Economic Zone,,15100000,Kilogram,1296
174213,,Xuzhou,Others,Ordinary trade,UnitedStates,UnitedStates,Suqian,Others,,29319090,Kilogram,29036
2880,,Dongli,Others,Process with imported materials,Japan,Japan,Hedong,Others,,39039000,Kilogram,300
3491,,Zhabei,Others,Process with imported materials,Italy,Italy,Jiujiang,Others,,71171100,Kilogram,48
20256,,Other,Others,Ordinary trade,Japan,Japan,Langfang,Others,,29049090,Kilogram,10
20126,,Zhengzhou,Others,Ordinary trade,Belgium,France,Qingdao,Others,,22042100,Liter,1890
59060,,Huizhou,Others,Ordinary trade,UnitedStates,UnitedStates,Heyuan,Others,,85414020,Number of item/Set,60200
2556,,Dadukou,Others,39,UnitedKingdom,UnitedKingdom,Jiangbei,Ecoomic & Technological Development Area,,61033900,Number of item/Set,8
288,,Huzhou,Others,Ordinary trade,Germany,Germany,Dongcheng,Others,,83100000,Kilogram,20
20554550,,Zhengzhou,Others,Ordinary trade,Netherlands,Germany,Xi'an,Hi-Technology Industry Development Area,,85042313,Number of item/Set,2
16791,,Changsha,Others,Ordinary trade,Ukraine,Ukraine,Daxing,Ecoomic & Technological Development Area,,15121900,Kilogram,9340
160,,Wuhan,Others,Ordinary trade,Belgium,Belgium,Jiading,Others,,20041000,Kilogram,10
1271,,Haidion,Others,Ordinary trade,Singapore,UnitedStates,Zhabei,Others,,85423100,Number of item/Set,510
55607,,Jiading,Others,Ordinary trade,357,357,Nanhui,Others,,3021410,Kilogram,6815
3789,,Suzhou,Others,Process with imported materials,HongKong,Germany,Taicang,Others,,32041200,Kilogram,60
30612,,Shenzhen,Special Economic Zone,Process & assembling,HongKong,Germany,Qingyuan,Others,,28429020,Kilogram,743
322762,,Dongguan,Others,Ordinary trade,Vietnam,Vietnam,Beihai,Others,,11081400,Kilogram,720000
5000,,Changshu,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Luwan,Others,,73262090,Kilogram,23
500698,,Shenyang,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Hengshui,Others,,84772090,Number of item/Set,1
35266,,Shaoxing,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Dongguan,Others,,54024510,Kilogram,9728
137917,,Kunming,Others,Ordinary trade,Argentina,Argentina,Zhanjiang,Others,,26030000,Kilogram,187081
2922,,Huangpu,Others,Ordinary trade,KoreaRep,KoreaRep,Haikou,Special Economic Zone,,85369000,Kilogram,117
1332,,Baoshan,Others,Ordinary trade,UnitedStates,UnitedStates,Hangu,Others,,32131000,Kilogram,98
354739,,Xiqing,Others,Ordinary trade,Italy,Italy,Chaoyang,Others,,12099100,Kilogram,201992
5532554,,5126,Others,Ordinary trade,UnitedKingdom,UnitedKingdom,Xicheng,Others,,84602190,Number of item/Set,1
23978,,Guangzhou,Others,Ordinary trade,Turkey,Turkey,Huzhou,Others,,52094100,Meter,3082
5782836,,Chaozhou,Others,Ordinary trade,Indonesia,Indonesia,Xiaoshen,Others,,27021000,Kilogram,116100000
13500,,Other,Others,Ordinary trade,KoreaRep,KoreaRep,Changning,Others,,84198990,Number of item/Set,1
782,,Yangzhou,Others,Ordinary trade,KoreaRep,KoreaRep,Quzhou,Others,,73071900,Kilogram,90
5018,,Other,Others,Ordinary trade,Italy,Italy,Nanjin,Others,,5119990,Kilogram,23894
54524,,Hebei,Others,Ordinary trade,France,France,Hedong,Others,,22042100,Liter,14148
